Date,Day,C_Temp_max_C,C_Temp_min_C,T1_Temp_max_C,T1_Temp_min_C,T2_Temp_max_C,T2_Temp_min_C,T3_Temp_max_C,T3_Temp_min_C,T4_Temp_max_C,T4_Temp_min_C,T5_Temp_max_C,T5_Temp_min_C,T6_Temp_max_C,T6_Temp_min_C,T7_Temp_max_C,T7_Temp_min_C,T8_Temp_max_C,T8_Temp_min_C,T9_Temp_max_C,T9_Temp_min_C,T10_Temp_max_C,T10_Temp_min_C,T11_Temp_max_C,T11_Temp_min_C,T12_Temp_max_C,T12_Temp_min_C,T13_Temp_max_C,T13_Temp_min_C,T14_Temp_max_C,T14_Temp_min_C,T15_Temp_max_C,T15_Temp_min_C,T16_Temp_max_C,T16_Temp_min_C,T17_Temp_max_C,T17_Temp_min_C,T18_Temp_max_C,T18_Temp_min_C,T19_Temp_max_C,T19_Temp_min_C,T20_Temp_max_C,T20_Temp_min_C,T21_Temp_max_C,T21_Temp_min_C,T22_Temp_max_C,T22_Temp_min_C
2022-09-11,11,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444,27.22222222,14.44444444
2022-09-12,12,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778,19.44444444,17.77777778
2022-09-13,13,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333,27.22222222,18.33333333
2022-09-14,14,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778,25.55555556,12.77777778
2022-09-15,15,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444,25,14.44444444
2022-09-16,16,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778,22.77777778,7.777777778
2022-09-17,17,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889,26.66666667,8.888888889
2022-09-18,18,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15,28.33333333,15
2022-09-19,19,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889,28.33333333,8.888888889
2022-09-20,20,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556,27.77777778,15.55555556
2022-09-21,21,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111,25.55555556,11.11111111
2022-09-22,22,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222,27.22222222,12.22222222
2022-09-23,23,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333,20.55555556,8.333333333
2022-09-24,24,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667,17.22222222,6.666666667
2022-09-25,25,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889,20,8.888888889
